Year,Lowest fifth,Second fifth,Third fifth,Fourth fifth,Highest fifth,Top 5 percent,Table H-3.  Mean Household Income Received by Each Fifth and Top 5 Percent All Races:  1967 to 2010,,,,,
2010,11034,28636,49309,79040,169633,287686,,,,,,
2009,11743,29740,50352,79993,173664,300264,,,,,,
2008,11803,29890,50766,80769,173221,298437,,,,,,
2007,12147,30960,52544,83190,176632,301999,,,,,,
2006,12276,31119,52148,82542,181858,321611,,,,,,
2005,11900,30554,51711,81334,178230,314007,,,,,,
2004 (35),11825,30256,51263,80830,174803,304612,,,,,,
2003,11850,30441,51673,81791,174359,300212,,,,,,
2002,12107,30784,51874,81596,174211,304214,,,,,,
2001,12483,31365,52499,82315,179768,320771,,,,,,
2000 (30),12860,32110,53472,83124,180129,319567,,,,,,
1999 (29),12974,31856,53323,82992,176980,307608,,,,,,
1998,12320,31109,52054,80506,170358,296934,,,,,,
1997,11972,29931,50356,77994,166282,291805,,,,,,
1996,11893,29193,49104,75998,159843,278438,,,,,,
1995 (25),11855,28976,48450,74480,155428,268246,,,,,,
1994 (24),11222,27967,47113,73314,154128,266291,,,,,,
1993 (23),10934,27720,46465,72211,150446,258216,,,,,,
1992 (22),11048,27682,46638,71594,138723,220178,,,,,,
1991,11281,28336,47067,71748,137583,214710,,,,,,
1990,11589,29158,48161,72613,140915,224392,,,,,,
1989,11874,29543,49108,74283,145209,234607,,,,,,
1988,11450,28898,48333,73062,139484,219987,,,,,,
1987 (21),11258,28612,47837,72308,137512,216649,,,,,,
1986,10959,28192,47176,71068,134516,210728,,,,,,
1985 (20),10849,27492,45634,68643,128221,197790,,,,,,
1984,10865,27063,44848,67526,124164,187431,,,,,,
1983 (19),10513,26409,43663,65521,120297,181757,,,,,,
1982,10391,26295,43526,64734,118728,179401,,,,,,
1981,10586,26370,43685,65119,116321,172853,,,,,,
1980,10858,27024,44594,65698,117139,175049,,,,,,
1979 (18),11213,27889,45981,67477,121097,184686,,,,,,
1978,11302,27757,45831,67138,119863,182447,,,,,,
1977,10930,26904,44504,65207,116281,177886,,,,,,
1976 (17),10982,26888,44218,64214,113652,173166,,,,,,
1975 (16),10719,26331,43199,62772,110828,168184,,,,,,
1974 (16)(15),11097,27582,44449,64196,113737,172880,,,,,,
1973,11137,28002,45929,66075,118224,182102,,,,,,
1972 (14),10641,27485,44856,64399,115612,179195,,,,,,
1971 (13),10043,26543,43037,61184,108412,166283,,,,,,
1970,9982,27039,43540,61374,108653,166770,,,,,,
1969,10158,27425,43824,61385,107890,166068,,,,,,
1968,9919,26594,42181,58839,102244,156316,,,,,,
1967 (12),9132,25302,40393,56517,101711,160442,,,,,,